year,document_id,title,role,subtype,problem_id,carrier_id,filename,region,award_level,award_level_evidence,authors,author_evidence,parse_status,evidence_status,completeness_status,segmentation_status,corpus_eligibility,manual_verification_status,expert_feedback_status,summary
2018,2018-PROB-A,A题：高温作业专用服装设计,problem,official_problem_statement,2018-A,2018-CAR-001,2018年国赛A题.docx,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,excluded_non_solution,complete,not_observed,四层防护服非稳态传热、参数标定与厚度优化题面。
2018,2018-DATA-A-01,A题附件1：专用服装材料参数,dataset,official_input_dataset,2018-A,2018-CAR-002,2018年国赛A题附件.xlsx,sheet:附件1,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,excluded_non_solution,complete,not_observed,4 层材料的密度、比热、导热率与给定厚度；工作表 6×5，26 个非空单元格。
2018,2018-DATA-A-02,A题附件2：假人皮肤外侧测量温度,dataset,official_input_dataset,2018-A,2018-CAR-002,2018年国赛A题附件.xlsx,sheet:附件2,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,excluded_non_solution,complete,not_observed,0—5400 s 的皮肤外侧温度序列；工作表 5403×2，10805 个非空单元格。
2018,2018-PROB-B,B题：智能 RGV 的动态调度策略,problem,official_problem_statement,2018-B,2018-CAR-003,2018年国赛B题 .doc,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,excluded_non_solution,complete,not_observed,8 台 CNC 与 1 辆 RGV 的单工序、双工序和随机故障动态调度题面。
2018,2018-DATA-B-01,B题附件1：智能加工系统组成与作业流程,dataset,official_supporting_reference,2018-B,2018-CAR-004,2018年国赛B题 附件（1）.doc,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,excluded_non_solution,complete,not_observed,RGV、机械手爪、CNC、传送带的实物/场景说明与标准作业流程。
2018,2018-DATA-B-02,B题附件2：Case 1 结果模板,dataset,official_output_template,2018-B,2018-CAR-024,Case_1_result.xls,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,excluded_non_solution,complete,not_observed,一道工序三组参数的逐物料 CNC 与上下料时刻填报模板，含 3 个工作表。
2018,2018-DATA-B-03,B题附件2：Case 2 结果模板,dataset,official_output_template,2018-B,2018-CAR-025,Case_2_result.xls,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,excluded_non_solution,complete,not_observed,两道工序三组参数的两阶段 CNC 与上下料时刻填报模板，含 3 个工作表。
2018,2018-DATA-B-04,B题附件2：Case 3 单工序故障结果模板,dataset,official_output_template,2018-B,2018-CAR-026,Case_3_result_1.xls,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,excluded_non_solution,complete,not_observed,单工序含故障情景的作业与故障时段填报模板，含 6 个工作表。
2018,2018-DATA-B-05,B题附件2：Case 3 双工序故障结果模板,dataset,official_output_template,2018-B,2018-CAR-027,Case_3_result_2.xls,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,excluded_non_solution,complete,not_observed,双工序含故障情景的作业与故障时段填报模板，含 6 个工作表。
2018,2018-PROB-C,C题：大型百货商场会员画像描绘,problem,official_problem_statement,2018-C,2018-CAR-006,2018年国赛C题.docx,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,excluded_non_solution,complete,not_observed,会员与非会员差异、购买力、生命周期、激活率及连带促销五问。
2018,2018-COMM-C-ATTACHMENT-NOTICE,C题附件下载说明,commentary,official_attachment_notice,2018-C,2018-CAR-007,2018年国赛C题附录.txt,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,excluded_non_solution,complete,not_observed,说明 C 题附件体量较大，应从竞赛组委会渠道另行下载；本文件不是实际数据附件。
2018,2018-PROB-D,D题：汽车总装线的配置问题,problem,official_problem_statement,2018-D,2018-CAR-008,2018年国赛D题.docx,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,excluded_non_solution,complete,not_observed,在品牌、配置、动力、驱动和颜色多重序列约束下安排总装及两条喷涂线。
2018,2018-DATA-D-01,D题附件：2018年9月17日至23日生产计划,dataset,official_input_dataset,2018-D,2018-CAR-009,2018年国赛D题附件.xlsx,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,excluded_non_solution,complete,not_observed,A1/A2 品牌按日期、动力、驱动、颜色和配置分解的一周生产计划；观测使用区域约 111×15。
2018,2018-COMM-FORMAT,2018全国大学生数学建模竞赛论文格式规范,commentary,official_format_guideline,,2018-CAR-010,2018全国大学生数学建模竞赛论文格式规范.doc,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,excluded_non_solution,complete,not_observed,2018 修订的纸质版、电子论文与支撑材料提交规范，不属于参赛论文。
2018,2018-A-SOL-001,高温作业服设计,paper,competition_solution,2018-A,2018-CAR-011,2018A：高温作业服设计.pdf,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,eligible_solution,complete,not_observed,建立四层高温防护服的一维非稳态传热模型，利用实测皮肤外侧温度标定边界换热参数，并在温度与持续时间约束下优化 II 层及 IV 层厚度。
2018,2018-A-SOL-002,高温作业专用服装设计,paper,competition_solution,2018-A,2018-CAR-012,2018A：高温作业专用服装设计.pdf,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,eligible_solution,complete,not_observed,从多层介质耦合传热出发求温度分布，使用隐式差分与追赶法求解，并通过枚举优化防护层厚度。
2018,2018-A-SOL-003,基于非稳态导热的高温作业专用服装设计,paper,competition_solution,2018-A,2018-CAR-013,2018A：基于非稳态导热的高温作业专用服装设计.pdf,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,eligible_solution,complete,not_observed,建立四个区域的一维非稳态导热方程，用后向欧拉法求解温度场，并用黄金分割与二维可行域搜索优化厚度。
2018,2018-B-SOL-001,基于 0-1 规划的单 RGV 动态调度模型,paper,competition_solution,2018-B,2018-CAR-015,2018B：基于 0-1 规划的单 RGV 动态调度模型.pdf,,unknown,not_observed,unknown,not_observed,complete,verified,complete_observed_document,verified_single_document_or_region,eligible_solution,complete,not_observed,针对单工序、双工序及随机故障场景建立单 RGV 动态调度规划，并比较可预判和仅响应当轮信号的两类策略。
